commit	date	subject	feature_id	classification	rationale
f287aa5ae4faca52bd23d603f483fd7d2d892d65	2026-06-15	chore(release): adapt build-sign-upload.sh for the fork + add --dry-run	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
a145f635465dff7b89a868ce60e141df8401af22	2026-06-15	feat: 0.64.153 — bundle skills, copy-path for all file tabs, cmux send --enter/--wait	skills.bundled	behavior	Primary bundled-skill installer commit; also introduced file-backed actions and conductor send flags, which remain related ledger IDs.
bd5dcb9adfc9ec507cb4356004448cfdd663bfae	2026-06-15	fix(release): build + install ghostty CLI helper in build-sign-upload.sh	ops.submodule-ownership	behavior	Historical implementation or invariant for ops.submodule-ownership.
10b3657c85c6428cf73c9ec3feffd02202f4c00f	2026-06-16	release: cmux Mochi 0.64.153 (build 98)	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
703197af303531bf9b76c5010b2b0f7ceec0ac1d	2026-06-16	ci(release): import Developer ID intermediate into build keychain for self-hosted signing	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
33e8afaf6390f6ea24132dcc1e40ebd5fd0939a5	2026-06-17	ci(release): harden signing keychain setup	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
6024b1b4623ac870d998c6a4f9a6f6e27ff133cc	2026-06-17	release: cmux Mochi 0.64.154	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
fd4a034f0eeb129c858e175a996031482c750b55	2026-06-22	test(taskmanager): failing argv-scan-bound regression for app-hang	task.resource-monitor	test-support	Historical regression or CI coverage for task.resource-monitor.
2741a462eff861d3108c48813f1314195693ded5	2026-06-22	fix(taskmanager): run agent matching off main actor + bound argv scan	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
acd8efac854e480fab44fe76529344fa8b79b34d	2026-06-22	Bump version to 0.64.155	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
f15d6ad0e139a1d571d571f6e1f3bed192c84d1d	2026-06-23	fix(taskmanager): drop cmuxDebugLog call that breaks Release build	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
e3f5c08ed98c0cf77bd772f814357474ea980a65	2026-06-15	welcome: reword resume mode (Medium default, pre-typed) + scrollback persistence	welcome.catalog	docs-support	Historical documentation, skill, localization, or shipped messaging for welcome.catalog.
0838927364bbb582327b7b48135760292340d471	2026-06-23	fix(browser): require a navigable bare host before treating input as a URL	browser.external-routing	behavior	Historical implementation or invariant for browser.external-routing.
aa0dda54a3fd1df96c3b86ed60c86549fe6b9d71	2026-06-23	fix(updater): give the update-pill popover an opaque background	updater.ui-fixes	behavior	Historical implementation or invariant for updater.ui-fixes.
9aef8ca460f81444fe126749da51760aac445d19	2026-06-23	feat(identifiers): Copy/Show IDs session-identifier overlay + Task Manager panel	task.resource-monitor	behavior	Historical implementation or invariant for task.resource-monitor.
43bd637e63285c903df2e99f13279a1e351d81a7	2026-06-23	docs(skill): add cmux Mochi Conductor skill	skills.bundled	docs-support	Historical documentation, skill, localization, or shipped messaging for skills.bundled.
93cd30cbf6cea15f05afe462ab5165b842ff57b3	2026-06-23	revert(resume): drop incidental codex rollout-existence restorability change	agent.resume-modes	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for agent.resume-modes.
6e88f8f2b5803192ddf500de3b9d9ba72a654843	2026-06-23	test(resume): expect codex/claude alias bindings (cxy/ccy) in resume command	agent.resume-modes	test-support	Historical regression or CI coverage for agent.resume-modes.
4cfc939888eb8696d548b128f2a883f466219b8f	2026-06-23	release: cmux Mochi 0.64.156 (build 101)	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
9bcb7d6388b85ab4cb3d689049e15850a71e3811	2026-06-24	ci(release): cache the Ghostty CLI helper by ghostty SHA	ops.submodule-ownership	behavior	Historical implementation or invariant for ops.submodule-ownership.
7911ee24eb8390108bfb688c26aef539f9026b7f	2026-06-24	fix(rebase): reconcile fork code with upstream API drift	history.release-churn	obsolete-infrastructure	Historical rebase/API reconciliation; account for it, but do not replay the conflict-resolution shape.
f988e4fcdfef91b729b4531cd3bd333ec76ecfa1	2026-06-24	chore(overlay): reapply fork identity after rebase	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
993f5c9c0fc9afb8b217e6afe21cba5398baa703	2026-06-24	feat(bonsplit): rebase fork tabbar features onto upstream + restore audio-playing indicator	ops.submodule-ownership	behavior	Fork-owned bonsplit pointer plus tab-bar behavior; re-evaluate against upstream and retain only required patch ownership.
e1aba2c26421ffcc666c37ca6ccebb9f887761e1	2026-06-24	test(ci): quarantine flaky AppDelegateShortcutRoutingTests Cmd-W teardown test	history.release-churn	test-support	Historical regression or CI coverage for history.release-churn.
9ce647c572724500315f5cc5f2c977bf95f5d783	2026-06-24	release: cmux Mochi 0.64.157 (build 102)	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
4c3554da5a9dddf161f9fb41a22b4551bc12af28	2026-06-24	fix(resume): keep restored agent terminals in their saved directory	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
0d0b7f7cd691a20a35f62b0547f95c01461ca67f	2026-06-24	fix(sentry): report to the cmux-mochi project, not cmux-atlas	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
372eb7767a234ae6132a1f594550db487d1ad84f	2026-06-24	fix(terminal): recover surface on input miss + skip surface tests on headless hosts	socket.targeting-safety	behavior	Historical implementation or invariant for socket.targeting-safety.
1dee773bc03cf9a96c3303a390a11fe0cf83e4b4	2026-06-24	fix(scripts): cmux-debug-cli points at the 'cmux Mochi DEV' app name	ops.fork-identity	behavior	Historical implementation or invariant for ops.fork-identity.
be5301278093fb93649e7de27d06cc2810034556	2026-06-24	test(resume): expect claude alias cd form + full mode for startup-command assertions	agent.resume-modes	test-support	Historical regression or CI coverage for agent.resume-modes.
7315a6dccf5cbad183e4692069468b7cb07ff14e	2026-06-24	feat(welcome): add a fork GitHub star nudge in the Mochi section	welcome.catalog	docs-support	Historical documentation, skill, localization, or shipped messaging for welcome.catalog.
b12d061ead59c273c916efaec01b022d305c7583	2026-06-24	fix(socket): follow the daemon's recorded socket when an inherited CMUX_SOCKET_PATH is dead	socket.targeting-safety	behavior	Historical implementation or invariant for socket.targeting-safety.
9b59950c4d6d822b4657538a58260c8aefc427b4	2026-06-24	feat(session): persist & restore pane zoom across relaunch	pane.zoom-persistence	behavior	Historical implementation or invariant for pane.zoom-persistence.
4bbf3f2f251a0eda906df7b41e13b56a277404f2	2026-06-24	fix(sidebar): source SidebarUnreadModel from the singleton to fix detached-host crash	sidebar.render-stability	behavior	Historical implementation or invariant for sidebar.render-stability.
c7efc2782f278f985fd86304bd93ad6f2075393e	2026-06-24	release: cmux Mochi 0.64.158 (build 103)	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
d9834404c11de52ea64c733d56532fb7862b8201	2026-06-27	docs: document single-trunk branching & release flow for the fork	ops.release-lanes	docs-support	Historical documentation, skill, localization, or shipped messaging for ops.release-lanes.
51ec8681f2dd7cf5f31518bfe18c2ae96cc2bf61	2026-06-28	docs(artifacts): add implementation plan for Claude-artifacts-style pane	artifacts.repository	docs-support	Historical documentation, skill, localization, or shipped messaging for artifacts.repository.
7bb459df664c29d5ef2e66383351fabda074c099	2026-06-28	feat(artifacts): add ArtifactStore global store + provenance model	artifacts.repository	behavior	Current app-global ArtifactStore and provenance implementation; preserve behavior but replace the architecture.
032a845804c90814dacc8d44fb4aa9bf42ad8828	2026-06-28	docs(artifacts): capture Claude-artifacts runtime contract as build target	artifacts.runtime-bridge	docs-support	Historical documentation, skill, localization, or shipped messaging for artifacts.runtime-bridge.
8c757221053fffdace351d5d156b1c3cc8607545	2026-06-28	docs(artifacts): add capabilities showcase; mark Claude-in-artifact out of scope	artifacts.renderer	docs-support	Historical documentation, skill, localization, or shipped messaging for artifacts.renderer.
32533a082cf08518f6da6b9bff3521f3466b2298	2026-06-28	feat(artifacts): add .html kind + extension classifier to ArtifactKind	artifacts.repository	behavior	Historical implementation or invariant for artifacts.repository.
50f5cb112a01f1e8185c2bd64952ff783c45b677	2026-06-28	feat(artifacts): add PanelType.artifact + ArtifactPanel skeleton	artifacts.surface	behavior	Historical implementation or invariant for artifacts.surface.
2d7fe704ffceccf88c6862e6bac4817635c69dcd	2026-06-28	feat(artifacts): scaffold + Workspace creation methods	artifacts.surface	behavior	Historical implementation or invariant for artifacts.surface.
8e33f02ccbd6b79bf2a3fb73b02584fbf3707932	2026-06-28	feat(artifacts): add 'cmux artifact new' CLI + artifact.new RPC	artifacts.surface	behavior	Historical implementation or invariant for artifacts.surface.
23b4fb47c7181b136b5d6d96e00215521ed92baa	2026-06-28	docs(artifacts): add Codex handover checklist	artifacts.surface	docs-support	Historical documentation, skill, localization, or shipped messaging for artifacts.surface.
e58f0b84771fecc377f806e71478da8fde6199af	2026-06-28	feat(artifacts): bundle capabilities showcase as a built-in sample	artifacts.renderer	behavior	Historical implementation or invariant for artifacts.renderer.
d6fff2f58d651391bded331c4a9bb01dae879189	2026-06-28	docs(artifacts): mark build/test loop validated + add showcase acceptance cmd	artifacts.renderer	docs-support	Historical documentation, skill, localization, or shipped messaging for artifacts.renderer.
af0b4aa5258b06ed0df0dec1f770018f999da176	2026-06-29	fix: pin crash fixes to owned forks	ops.submodule-ownership	behavior	Historical implementation or invariant for ops.submodule-ownership.
af8f2bb908292552501b42a9d15149786c485654	2026-06-30	feat(artifacts): add live artifact workbench	artifacts.renderer	behavior	Current live artifact workbench; also contains renderer bridge, storage, and revision behavior that must become separate clean slices.
8531a462f0eb9774720cd55a3daa12d18c8185ab	2026-06-30	chore(release): bump to 0.64.159	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
8c5a6f53d9c9397c8ef9a8872b9e5d46f0d63fcd	2026-06-30	fix(release): satisfy universal release compile	ci.release-build-shape	behavior	Historical implementation or invariant for ci.release-build-shape.
339f90ac13cd368d8ad42f7a2ceeb8174a58e423	2026-06-30	fix(release): use Mochi app bundle path	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
1e5eeef6c9d1813c24e43f61ddbc1f93ab5a8724	2026-06-30	fix(release): align local dmg packaging with ci	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
97a1bdf0964ef242b46e29c3448c9f00963c29e0	2026-06-30	fix(release): remove restricted browser entitlement	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
2b4ddac71b19de6ac71bffb46bf48fc2abaf01e9	2026-06-30	chore(release): bump to 0.64.160	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
8b053fc0cb74f5cb15e3f0413a42a66c02265f42	2026-06-30	fix(release): pin mochi release runners	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
0257bb0f199f6d4514a886cd13e876955113a9f5	2026-06-30	fix(release): preserve ghosttykit build artifact	ops.submodule-ownership	behavior	Historical implementation or invariant for ops.submodule-ownership.
ab5084928c4f751a025bdf7d8eb47ea2c8260b9b	2026-06-30	chore(release): pin ghosttykit checksum	ops.submodule-ownership	behavior	Historical implementation or invariant for ops.submodule-ownership.
e9bfc7007151125abeb71adca152500825bafe08	2026-06-30	chore(release): bump to 0.64.161	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
94d12339eeb435412df74b28310d720ff439d5b3	2026-06-30	chore(release): bump to 0.64.162	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
e0e1c4b76fed210fb12f659cf34f0da00b91277e	2026-07-02	feat: add VS Code Claude panes and privacy frost	vscode.serve-web	behavior	Primary inline VS Code workbench implementation; the same large commit also introduced Privacy Frost and must be semantically split.
3b31daa3d8b7486fbe377e6b014001502ffe2b1f	2026-07-02	chore(release): bump to 0.64.163	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
c8feecdfed8d0c00480dc29896c0a6a0adbfd72e	2026-07-02	ci: reduce release build memory	ci.release-build-shape	behavior	Historical implementation or invariant for ci.release-build-shape.
103ee76340972c95bfc508511872bff918b65eee	2026-07-02	chore(release): bump to 0.64.164	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
fb5a66c905cbe0fd2558d657efb4ebc1645ef9a2	2026-07-02	fix: split sidebar row release type-checking	ci.release-build-shape	behavior	Historical implementation or invariant for ci.release-build-shape.
ac19b184cbd4e493c94030395c32b51669425907	2026-07-02	chore(release): bump to 0.64.165	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
fa25200122b666351bbdae73cf99bc28e017c05e	2026-07-02	fix: split sidebar row modifier chain	ci.release-build-shape	behavior	Historical implementation or invariant for ci.release-build-shape.
51bc9f981a8f1504ab651903b27957701bbe8983	2026-07-02	chore(release): bump to 0.64.166	history.release-churn	release-version-churn	Release or version bookkeeping accounted for under history.release-churn.
1fc85617ce7b78817fb3d22097103d60fade104d	2026-07-02	docs: add fork overlay cleanup plan	history.release-churn	docs-support	Historical documentation, skill, localization, or shipped messaging for history.release-churn.
1dcbd5846b1a00156c8dc7ef79a4e67a1e2c19bd	2026-07-02	ci: guard upstream-only fork workflows	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
6ffb54161ce1313c6420167b2acca8f8173ecca6	2026-07-02	ci: harden ad-hoc nightly release lane	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
c1a9342c9f45ade2289d67f0bfa4355962abd414	2026-07-02	fix: refine private rows and codex restore state	agent.resume-modes	behavior	Primary agent restore/resume refinement; the same commit also touched private-row presentation and must be split in replay.
f3a9ed6b49d68379bab624d0a714db4f9d0b5fb0	2026-07-02	ci: route nightly through m4 signing runner	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
64d63d258e24e7cb1d169302ac3f0c1a56b5124a	2026-07-02	fix: block controls in private workspace rows	privacy.frost	behavior	Historical implementation or invariant for privacy.frost.
51532a65170e2438b4c513d665044d05470e80cb	2026-07-02	ci: keep nightly decide on github linux	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
98a300f3b112d55a8ec308e1f5e65278610504e5	2026-07-02	ci: align nightly identity and local release build	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
790d6ec12cdcc00756f4185d508aa3f85afd5c40	2026-07-02	ci: extend nightly notarization timeout	ops.release-lanes	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for ops.release-lanes.
475fbe50c769bffa390c741947380b860e5bec87	2026-07-02	docs: record Mochi release process	ops.release-lanes	docs-support	Historical documentation, skill, localization, or shipped messaging for ops.release-lanes.
18e534f3eb6982bdcd7c8b849270e52977bfea1c	2026-07-02	fix: avoid blocking agent resume paste hook	agent.resume-modes	behavior	Historical implementation or invariant for agent.resume-modes.
db7a5fb1a3a95fe4e5ff1dff9c01b56c600b3d3a	2026-07-03	fix: avoid full codex transcript scans	agent.scrollback-continuity	behavior	Historical implementation or invariant for agent.scrollback-continuity.
073b8bdb7708cdf2195be6520c8a84d4ec697caf	2026-07-03	feat: blur workspace groups	privacy.frost	behavior	Historical implementation or invariant for privacy.frost.
60dd42035c3866cdeec54643c19fa2fed35be3f1	2026-07-03	test: stabilize workspace group suite	privacy.frost	test-support	Historical regression or CI coverage for privacy.frost.
bd9b4dc79ed0e5cf40678dcc891443048fef2a29	2026-07-03	fix: keep claude vscode data out of app support	vscode.serve-web	behavior	Historical implementation or invariant for vscode.serve-web.
fbbda3b846f80ccb3ac4dcc8a190557e0faee78c	2026-07-03	fix: harden claude serve-web working directory	vscode.serve-web	behavior	Historical implementation or invariant for vscode.serve-web.
2c06b216d60826fc4665d7254e314108c3f7f00f	2026-07-03	"Revert ""fix: harden claude serve-web working directory"""	vscode.serve-web	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for vscode.serve-web.
958e05e18aa9ca596f85ffcfea0468438018d62c	2026-07-03	"Revert ""fix: keep claude vscode data out of app support"""	vscode.serve-web	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for vscode.serve-web.
3d83c3a77095d6b7f12195d58bc5a2964d74d924	2026-07-04	fix: polish privacy frost glass	privacy.frost	behavior	Historical implementation or invariant for privacy.frost.
09c5fe23da93894bf7e8ac5724f931cec4103587	2026-07-04	fix: harden release smoke launch	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
093e6286b73fb9070f5355bfcbf62992bf10672b	2026-07-04	fix: tolerate existing app during release smoke	ops.release-lanes	behavior	Historical implementation or invariant for ops.release-lanes.
71d30f3a29dc2954a471882bb6addcedf7f39892	2026-07-05	fix: speed up privacy frost toggles	privacy.frost	behavior	Historical implementation or invariant for privacy.frost.
d81776c3d0f3c0be0cf81a1aceb2279b4477e0df	2026-07-05	ci: cancel stale main workflow runs	history.release-churn	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for history.release-churn.
be2e37b8284caacfe6c9811d9efb9d47997c6aa3	2026-07-07	feat(cli): add whoami and new-tab aliases + caller-context contract	diagnostics.show-copy-ids	behavior	Caller-context and whoami identifiers support deterministic diagnostics and Conductor routing.
6d84b606f15a6af24fd53a80162be3ccea94253a	2026-07-07	docs: add agent orchestration guide	skills.bundled	docs-support	Historical documentation, skill, localization, or shipped messaging for skills.bundled.
db89d07a64f196ab6003451a054594b548bfc980	2026-07-07	feat(skills): conductor arrival rules, native-agent workflows, demo templates	skills.bundled	docs-support	Historical documentation, skill, localization, or shipped messaging for skills.bundled.
3013414e806129d4ea55eb8f856d5f66ecbd5977	2026-07-07	docs: add Codex rebase handover brief	history.release-churn	docs-support	Historical documentation, skill, localization, or shipped messaging for history.release-churn.
92ff203ba774401cdbd80666c04ced2d80a67b29	2026-07-07	chore: ignore local SPM cache and universal build dirs	history.release-churn	obsolete-infrastructure	Historical integration, rebase, or CI repair to re-evaluate rather than replay for history.release-churn.
cb8e34b2fa487a5472833bd44eae4a77c03ccc4e	2026-07-07	feat: add workspace.screenshot control command + CLI capture-workspace	capture.workspace	behavior	Historical implementation or invariant for capture.workspace.
